	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16378	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Agriculture, forestry, fishing and hunting	2009	67700.0
16379	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Mining, quarrying, and oil and gas extraction	2009	513.0
16380	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Utilities	2009	3107.0
16381	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Construction	2009	119344.0
16382	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Manufacturing	2009	370051.0
16383	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Wholesale trade	2009	99010.0
16384	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Retail trade	2009	124788.0
16385	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Transportation and warehousing	2009	86768.0
16386	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Information	2009	15920.0
16387	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Real estate and rental and leasing	2009	279016.0
16388	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Professional and business services	2009	160612.0
16389	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Management of companies and enterprises	2009	52102.0
16390	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Administrative and support and waste management and remediation services	2009	58389.0
16391	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Educational services	2009	9278.0
16392	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Health care and social assistance	2009	167381.0
16393	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Arts, entertainment, and recreation	2009	6549.0
16394	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Accommodation and food services	2009	37112.0
16395	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Other services (except government and government enterprises)	2009	51006.0
16396	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	Government and government enterprises	2009	399826.0
16397	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2009	2233.0
16398	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2009	7746.0
16399	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Utilities	2009	18770.0
16400	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Construction	2009	130275.0
16401	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Manufacturing	2009	465101.0
16402	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Wholesale trade	2009	69897.0
16403	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Retail trade	2009	120915.0
16404	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Transportation and warehousing	2009	37926.0
16405	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Information	2009	18422.0
16406	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Real estate and rental and leasing	2009	236497.0
16407	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Professional and business services	2009	113889.0
16408	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Management of companies and enterprises	2009	32298.0
16409	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2009	35340.0
16410	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Educational services	2009	2419.0
16411	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Health care and social assistance	2009	63815.0
16412	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Arts, entertainment, and recreation	2009	16591.0
16413	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Accommodation and food services	2009	37167.0
16414	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Other services (except government and government enterprises)	2009	61049.0
16415	37109	FIPS_37109	Lincoln County	Southwest	Centralina	Government and government enterprises	2009	239850.0
16416	37111	FIPS_37111	McDowell County	Northwest	Region C	  Agriculture, forestry, fishing and hunting	2009	18478.0
16417	37111	FIPS_37111	McDowell County	Northwest	Region C	  Mining, quarrying, and oil and gas extraction	2009	7984.0
16418	37111	FIPS_37111	McDowell County	Northwest	Region C	  Utilities	2009	2003.0
16419	37111	FIPS_37111	McDowell County	Northwest	Region C	  Construction	2009	47800.0
16420	37111	FIPS_37111	McDowell County	Northwest	Region C	  Manufacturing	2009	898331.0
16421	37111	FIPS_37111	McDowell County	Northwest	Region C	  Wholesale trade	2009	29081.0
16422	37111	FIPS_37111	McDowell County	Northwest	Region C	  Retail trade	2009	84421.0
